SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1158695,100281,Cash loans,19021.005,360000.0,420912.0,,360000.0,MONDAY,11,Y,1,,,,XNA,Approved,-969,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),6,XNA,36.0,middle,Cash X-Sell: middle,365243.0,-939.0,111.0,-339.0,-314.0,1.0
1489082,101154,Consumer loans,2257.47,19035.0,18828.0,1903.5,19035.0,WEDNESDAY,10,Y,1,0.0999968427491761,,,XAP,Approved,-2340,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Regional / Local,100,Consumer electronics,12.0,high,POS household with interest,365243.0,-2309.0,-1979.0,-1979.0,-1972.0,0.0
1974762,100944,Cash loans,51334.695,810000.0,893398.5,,810000.0,FRIDAY,12,Y,1,,,,XNA,Approved,-931,Cash through the bank,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,36.0,high,Cash X-Sell: high,365243.0,-901.0,149.0,-601.0,-593.0,1.0
1189722,100387,Consumer loans,14871.825,132300.0,146272.5,0.0,132300.0,SUNDAY,12,Y,1,0.0,,,XAP,Approved,-110,Cash through the bank,XAP,"Spouse, partner",Repeater,Audio/Video,POS,XNA,Stone,10,Connectivity,12.0,middle,POS mobile with interest,365243.0,-80.0,250.0,365243.0,365243.0,1.0
1874254,100293,Revolving loans,6750.0,135000.0,135000.0,,135000.0,WEDNESDAY,11,Y,1,,,,XAP,Approved,-229,XNA,XAP,Family,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1339797,100035,Cash loans,,0.0,0.0,,,FRIDAY,14,Y,1,,,,XNA,Refused,-138,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Cash,,,,,,
2705391,101032,Consumer loans,18209.385,142992.0,190705.5,0.0,142992.0,THURSDAY,11,Y,1,0.0,,,XAP,Approved,-1959,Cash through the bank,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Country-wide,972,Furniture,18.0,high,POS industry with interest,365243.0,-1928.0,-1418.0,-1418.0,-843.0,0.0
1106193,101133,Cash loans,6543.0,90000.0,90000.0,0.0,90000.0,WEDNESDAY,9,Y,1,0.0,,,XNA,Approved,-2861,XNA,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,20.0,middle,Cash Street: middle,365243.0,-2831.0,-2261.0,-2321.0,-2311.0,0.0
1185699,100043,Consumer loans,5287.815,35775.0,33340.5,4500.0,35775.0,MONDAY,11,Y,1,0.1295149136747423,,,XAP,Approved,-2411,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Country-wide,44,Connectivity,8.0,low_normal,POS mobile with interest,365243.0,-2380.0,-2170.0,-2170.0,-2167.0,1.0
2475428,100831,Consumer loans,,88726.5,88726.5,0.0,88726.5,MONDAY,13,Y,1,0.0,,,XAP,Refused,-1104,Cash through the bank,XNA,,Repeater,Mobile,XNA,XNA,Country-wide,40,Connectivity,,XNA,POS mobile with interest,,,,,,
1413109,100009,Consumer loans,8996.76,98239.5,98239.5,0.0,98239.5,SATURDAY,18,Y,1,0.0,,,XAP,Approved,-449,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Regional / Local,164,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-418.0,-88.0,-88.0,-84.0,0.0
1370544,100144,Cash loans,10698.075,157500.0,157500.0,,157500.0,TUESDAY,16,Y,1,,,,XNA,Approved,-100,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_normal,Cash X-Sell: low,365243.0,-70.0,440.0,365243.0,365243.0,0.0
2053202,100530,Consumer loans,4336.29,86526.0,96255.0,0.0,86526.0,MONDAY,15,Y,1,0.0,,,XAP,Approved,-268,Cash through the bank,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,2148,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-238.0,452.0,365243.0,365243.0,1.0
1205384,100851,Consumer loans,9305.145,47965.5,50499.0,0.0,47965.5,FRIDAY,15,Y,1,0.0,,,XAP,Approved,-344,Cash through the bank,XAP,,Refreshed,Consumer Electronics,POS,XNA,Regional / Local,0,Consumer electronics,6.0,middle,POS household with interest,365243.0,-313.0,-163.0,-163.0,-160.0,0.0
2117048,100121,Consumer loans,3551.85,18441.0,17419.5,1845.0,18441.0,SATURDAY,12,Y,1,0.104304431844726,,,XAP,Approved,-1987,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,21,Connectivity,6.0,high,POS mobile with interest,365243.0,-1951.0,-1801.0,-1801.0,-1769.0,0.0
1151890,100785,Cash loans,13608.0,112500.0,134883.0,,112500.0,FRIDAY,7,Y,1,,,,XNA,Approved,-1541,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1511.0,-1181.0,-1211.0,-1203.0,1.0
1858047,100478,Revolving loans,13500.0,270000.0,270000.0,,270000.0,MONDAY,16,Y,1,,,,XAP,Refused,-403,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
2202766,100709,Consumer loans,5133.915,54634.5,54634.5,0.0,54634.5,THURSDAY,14,Y,1,0.0,,,XAP,Approved,-147,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,1000,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-116.0,214.0,365243.0,365243.0,0.0
1794611,101114,Consumer loans,10173.06,54832.5,54832.5,0.0,54832.5,SATURDAY,14,Y,1,0.0,,,XAP,Approved,-191,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Regional / Local,104,Consumer electronics,6.0,middle,POS household without interest,365243.0,-160.0,-10.0,-70.0,-64.0,0.0
2690664,100867,Cash loans,42180.48,225000.0,232425.0,,225000.0,MONDAY,4,Y,1,,,,XNA,Approved,-213,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,6.0,low_normal,Cash X-Sell: low,365243.0,-183.0,-33.0,-63.0,-60.0,1.0
2453786,100580,Revolving loans,,0.0,0.0,,,WEDNESDAY,19,Y,1,,,,XAP,Canceled,-295,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1820775,101062,Cash loans,29055.6,688500.0,759388.5,,688500.0,WEDNESDAY,15,Y,1,,,,XNA,Approved,-286,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,365243.0,-256.0,794.0,-256.0,-254.0,1.0
2707039,100896,Cash loans,25547.535,405000.0,470488.5,,405000.0,THURSDAY,15,Y,1,,,,XNA,Approved,-722,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,42.0,high,Cash X-Sell: high,365243.0,-692.0,538.0,-452.0,-446.0,1.0
1326335,100451,Cash loans,18595.26,202500.0,222547.5,0.0,202500.0,TUESDAY,11,Y,1,0.0,,,XNA,Approved,-1649,Cash through the bank,XAP,Children,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high,365243.0,-1619.0,-1109.0,-1229.0,-1224.0,1.0
2292599,100902,Consumer loans,18328.455,149949.0,163210.5,0.0,149949.0,WEDNESDAY,11,Y,1,0.0,,,XAP,Approved,-1806,Cash through the bank,XAP,Unaccompanied,Repeater,Clothing and Accessories,POS,XNA,Stone,61,Clothing,12.0,high,POS industry with interest,365243.0,-1775.0,-1445.0,-1445.0,-1438.0,0.0
2020163,101034,Consumer loans,22312.44,146736.0,183505.5,0.0,146736.0,SUNDAY,17,Y,1,0.0,,,XAP,Refused,-519,Cash through the bank,SCOFR,,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,12.0,high,POS mobile with interest,,,,,,
2001242,100007,Cash loans,16509.6,180000.0,180000.0,,180000.0,SUNDAY,14,Y,1,,,,XNA,Approved,-865,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Regional / Local,1200,Consumer electronics,18.0,high,Cash Street: high,365243.0,-834.0,-324.0,-354.0,-347.0,0.0
2190260,100674,Cash loans,11341.26,157500.0,203139.0,,157500.0,THURSDAY,8,Y,1,,,,XNA,Approved,-1436,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-1406.0,-716.0,-1196.0,-1188.0,1.0
1062722,100873,Revolving loans,2250.0,45000.0,45000.0,,45000.0,TUESDAY,19,Y,1,,,,XAP,Approved,-339,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,walk-in,Country-wide,100,Consumer electronics,0.0,XNA,Card Street,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
2574979,100956,Consumer loans,4390.425,20155.5,21528.0,2016.0,20155.5,MONDAY,11,Y,1,0.0932554906866833,,,XAP,Approved,-645,Cash through the bank,XAP,Other_B,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,6.0,high,POS mobile with interest,365243.0,-612.0,-462.0,-552.0,-547.0,0.0
1086561,100662,Consumer loans,18228.015,87655.5,68593.5,22500.0,87655.5,FRIDAY,17,Y,1,0.2690043247272906,,,XAP,Approved,-95,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Country-wide,560,Consumer electronics,4.0,low_normal,POS mobile with interest,365243.0,-68.0,25.0,-68.0,-65.0,1.0
1993128,100254,Cash loans,,0.0,0.0,,,SATURDAY,9,Y,1,,,,XNA,Canceled,-307,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1615263,100614,Consumer loans,,69705.0,69705.0,0.0,69705.0,TUESDAY,15,Y,1,0.0,,,XAP,Unused offer,-563,Cash through the bank,CLIENT,,New,Mobile,XNA,XNA,Country-wide,50,Connectivity,,XNA,POS mobile with interest,,,,,,
2825235,100894,Consumer loans,7867.17,171544.5,171544.5,0.0,171544.5,SUNDAY,12,Y,1,0.0,,,XAP,Approved,-1502,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Country-wide,6900,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-1470.0,-780.0,-900.0,-893.0,0.0
1775409,100536,Consumer loans,3222.45,26325.0,23625.0,4500.0,26325.0,FRIDAY,8,Y,1,0.1742545454545454,,,XAP,Approved,-1964,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Stone,15,Connectivity,10.0,high,POS mobile with interest,365243.0,-1923.0,-1653.0,-1653.0,-1647.0,0.0
1753483,100421,Cash loans,,0.0,0.0,,,TUESDAY,15,Y,1,,,,XNA,Canceled,-376,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2571217,100937,Consumer loans,7276.275,40050.0,40050.0,0.0,40050.0,FRIDAY,11,Y,1,0.0,,,XAP,Approved,-383,Cash through the bank,XAP,,New,Homewares,POS,XNA,Stone,100,Construction,6.0,middle,POS industry with interest,365243.0,-352.0,-202.0,-202.0,-199.0,0.0
2439552,101103,Revolving loans,13500.0,270000.0,270000.0,,270000.0,MONDAY,17,Y,1,,,,XAP,Approved,-183,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1229203,100485,Revolving loans,45000.0,810000.0,900000.0,,810000.0,MONDAY,12,N,1,,,,XAP,Refused,-428,XNA,HC,,Repeater,XNA,Cards,x-sell,Credit and cash offices,0,XNA,0.0,XNA,Card X-Sell,,,,,,
2452264,100710,Consumer loans,10515.24,169884.0,124884.0,45000.0,169884.0,WEDNESDAY,16,Y,1,0.2884856190641314,,,XAP,Refused,-2383,Cash through the bank,SCO,"Spouse, partner",New,Audio/Video,POS,XNA,Country-wide,800,Consumer electronics,18.0,high,POS household with interest,,,,,,
2070251,100226,Consumer loans,13315.905,95395.5,72009.0,27000.0,95395.5,SUNDAY,17,Y,1,0.2969977935890125,,,XAP,Approved,-142,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,2400,Consumer electronics,6.0,middle,POS household with interest,365243.0,-110.0,40.0,365243.0,365243.0,0.0
2274646,101106,Consumer loans,15581.43,143955.0,140247.0,14395.5,143955.0,THURSDAY,14,Y,1,0.1013822731902172,,,XAP,Approved,-2356,Cash through the bank,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,2756,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2325.0,-2055.0,-2055.0,-2045.0,1.0
2474874,100920,Consumer loans,5086.935,39141.0,38133.0,3915.0,39141.0,THURSDAY,14,Y,1,0.1014029420921544,,,XAP,Approved,-2423,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,600,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-2373.0,-2103.0,-2163.0,-2161.0,1.0
2619717,100856,Consumer loans,6088.14,71955.0,83353.5,0.0,71955.0,THURSDAY,15,Y,1,0.0,,,XAP,Refused,-355,Cash through the bank,LIMIT,,Repeater,Consumer Electronics,POS,XNA,Regional / Local,70,Consumer electronics,18.0,middle,POS household with interest,,,,,,
2573387,101069,Consumer loans,21665.52,206991.0,214978.5,9000.0,206991.0,SUNDAY,14,Y,1,0.0437623172841062,,,XAP,Refused,-360,Cash through the bank,HC,,Repeater,Computers,POS,XNA,Country-wide,150,Consumer electronics,12.0,middle,POS household with interest,,,,,,
2430568,100396,Consumer loans,1566.45,17055.0,16402.5,2565.0,17055.0,MONDAY,11,Y,1,0.1472791976706567,,,XAP,Approved,-2049,Cash through the bank,XAP,Unaccompanied,New,Audio/Video,POS,XNA,Country-wide,109,Consumer electronics,16.0,high,POS household with interest,365243.0,-2018.0,-1568.0,-1688.0,-1686.0,0.0
1679603,100310,Consumer loans,7364.385,147582.0,62649.0,90000.0,147582.0,THURSDAY,5,Y,1,0.6421147981197507,,,XAP,Refused,-553,Cash through the bank,LIMIT,,Repeater,Audio/Video,POS,XNA,Country-wide,1375,Consumer electronics,10.0,middle,POS household with interest,,,,,,
2808320,100734,Cash loans,,0.0,0.0,,,MONDAY,13,Y,1,,,,XNA,Canceled,-395,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1955992,101044,Consumer loans,3094.2,30946.5,27850.5,3096.0,30946.5,MONDAY,11,Y,1,0.1089566010548997,,,XAP,Approved,-2731,Cash through the bank,XAP,,Repeater,Audio/Video,POS,XNA,Regional / Local,120,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-2697.0,-2427.0,-2427.0,-2424.0,0.0
1786569,100434,Revolving loans,27000.0,0.0,540000.0,,,MONDAY,18,Y,1,,,,XAP,Refused,-842,XNA,HC,,Refreshed,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1229409,100631,Consumer loans,13211.55,120105.0,120105.0,0.0,120105.0,WEDNESDAY,15,Y,1,0.0,,,XAP,Approved,-552,Cash through the bank,XAP,,Repeater,Furniture,POS,XNA,Stone,500,Furniture,10.0,low_normal,POS industry with interest,365243.0,-520.0,-250.0,-370.0,-340.0,0.0
1441784,100892,Cash loans,37763.55,360000.0,376632.0,,360000.0,MONDAY,13,Y,1,,,,XNA,Approved,-746,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-716.0,-386.0,-506.0,-502.0,1.0
2840688,101075,Cash loans,,0.0,0.0,,,WEDNESDAY,15,Y,1,,,,XNA,Canceled,-55,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1476081,100072,Cash loans,,0.0,0.0,,,THURSDAY,10,Y,1,,,,XNA,Canceled,-124,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1527932,100594,Cash loans,8793.0,315000.0,315000.0,,315000.0,THURSDAY,6,Y,1,,,,Repairs,Refused,-20,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_normal,Cash Street: low,,,,,,
1287643,100803,Consumer loans,2641.185,17325.0,14544.0,3465.0,17325.0,SATURDAY,17,Y,1,0.2095452273863068,,,XAP,Approved,-2477,Cash through the bank,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,10,Furniture,6.0,middle,POS industry with interest,365243.0,-2445.0,-2295.0,-2325.0,-2315.0,1.0
2290249,100360,Cash loans,14352.93,225000.0,254700.0,,225000.0,MONDAY,8,Y,1,,,,XNA,Approved,-101,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-71.0,619.0,365243.0,365243.0,1.0
2803085,100540,Cash loans,17896.545,207000.0,257134.5,,207000.0,MONDAY,7,Y,1,,,,XNA,Approved,-421,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_normal,Cash X-Sell: low,365243.0,-391.0,119.0,365243.0,365243.0,1.0
1513220,100535,Consumer loans,12193.875,105525.0,116667.0,0.0,105525.0,TUESDAY,16,Y,1,0.0,,,XAP,Approved,-938,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Regional / Local,300,Consumer electronics,12.0,middle,POS household with interest,365243.0,-906.0,-576.0,-576.0,-562.0,0.0
2642465,100605,Cash loans,16164.0,450000.0,450000.0,,450000.0,WEDNESDAY,15,Y,1,,,,XNA,Approved,-310,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,,,,,,
2184878,100598,Consumer loans,14311.08,76941.0,81004.5,0.0,76941.0,FRIDAY,12,Y,1,0.0,,,XAP,Approved,-968,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,3303,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-936.0,-786.0,-786.0,-775.0,0.0
2841846,100291,Consumer loans,7780.41,49500.0,41562.0,9900.0,49500.0,MONDAY,11,Y,1,0.2095138160195872,,,XAP,Approved,-1949,Non-cash from your account,XAP,Group of people,Repeater,Consumer Electronics,POS,XNA,Stone,60,Furniture,6.0,middle,POS industry with interest,365243.0,-1918.0,-1768.0,-1768.0,-1761.0,0.0
2094054,100861,Cash loans,,0.0,0.0,,,FRIDAY,10,Y,1,,,,XNA,Canceled,-196,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1373453,100078,Cash loans,,0.0,0.0,,,MONDAY,8,Y,1,,,,XNA,Canceled,-22,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1017235,100603,Consumer loans,5994.225,33466.5,29866.5,3600.0,33466.5,FRIDAY,17,Y,1,0.1171537887955797,,,XAP,Approved,-2875,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,40,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2833.0,-2683.0,-2683.0,-2677.0,0.0
2704631,100194,Consumer loans,7861.95,74092.5,74092.5,0.0,74092.5,FRIDAY,13,Y,1,0.0,,,XAP,Approved,-292,Cash through the bank,XAP,,Repeater,Jewelry,POS,XNA,Country-wide,90,Jewelry,12.0,middle,POS other with interest,365243.0,-259.0,71.0,365243.0,365243.0,0.0
2772902,100220,Consumer loans,20966.4,108513.0,113886.0,0.0,108513.0,THURSDAY,7,Y,1,0.0,,,XAP,Approved,-2413,Cash through the bank,XAP,Unaccompanied,New,Other,POS,XNA,Regional / Local,14,Consumer electronics,6.0,middle,POS household with interest,365243.0,-2382.0,-2232.0,-2292.0,-2284.0,1.0
1290256,100539,Consumer loans,10187.235,89730.0,83776.5,13500.0,89730.0,TUESDAY,15,Y,1,0.1511436705959534,,,XAP,Approved,-2071,Cash through the bank,XAP,Other_B,Repeater,Mobile,POS,XNA,Country-wide,41,Connectivity,12.0,high,POS mobile with interest,365243.0,-2040.0,-1710.0,-1710.0,-1702.0,0.0
